GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL
2801,46976113.1,3200.12,1830.86,5539832.52,1146.04,-69.31,-1000.7,-11755.27,512.74,8580.77,-3239.08,120.98,52518390.87,-3118.1,52515272.78
2826,47168277.41,2923.22,1842.49,5507640.65,853.06,-88.93,-1010.83,-11821.87,531.52,8564.13,-3146.5,120.61,52677710.84,-3025.89,52674684.96
2851,46947401.96,2933.9,1864.37,5507330.81,465.56,-77.99,-1019.76,-12016.43,523.61,8560.63,-2952.66,117.84,52455966.67,-2834.82,52453131.86
2876,47266484.68,2759.58,1843.95,5607165.97,529.81,-69.57,-1017.84,-11852.0,505.71,8562.55,-3101.75,121.4,52874912.85,-2980.35,52871932.5
2901,47273086.47,2971.58,1834.88,5580962.35,699.05,-101.11,-990.65,-11869.11,515.96,8520.22,-3060.09,123.01,52855629.63,-2937.07,52852692.56
2926,47231495.34,2789.68,1827.36,5526614.25,714.65,-81.76,-998.67,-12018.29,505.75,8619.96,-3039.3,120.32,52759468.27,-2918.98,52756549.29
2951,47215192.41,2892.31,1837.34,5543142.41,812.23,-103.79,-995.84,-11880.39,515.21,8703.31,-3209.8,121.86,52760115.21,-3087.94,52757027.27
2976,47151351.9,2905.52,1837.88,5536879.33,537.09,-89.07,-976.72,-11750.56,509.98,8576.94,-3230.78,122.32,52689782.28,-3108.46,52686673.83
3001,47494073.2,2745.35,1848.92,5609753.63,548.26,-83.36,-954.34,-11885.3,507.57,8602.95,-3162.43,120.97,53105156.88,-3041.46,53102115.42
3026,47356327.41,2764.15,1842.98,5592149.65,386.63,-63.95,-1005.49,-11711.97,512.74,8597.59,-3263.75,121.9,52949799.74,-3141.85,52946657.89
3051,47398461.45,2884.24,1817.59,5490034.12,119.35,-72.38,-1005.21,-11667.43,506.95,8565.55,-3291.7,123.07,52889644.24,-3168.63,52886475.61
3076,47258916.47,2853.61,1821.82,5495101.06,158.6,-89.24,-966.1,-11586.89,532.24,8564.48,-3399.93,125.33,52755306.06,-3274.59,52752031.47
3101,47387179.05,2768.08,1825.93,5517081.19,112.03,-81.55,-981.84,-11531.3,518.88,8532.46,-3427.93,124.22,52905422.94,-3303.7,52902119.23
3126,47622915.57,2573.8,1813.95,5572972.65,113.25,-87.33,-977.81,-11471.03,507.0,8528.17,-3496.53,124.37,53196888.21,-3372.15,53193516.06
3151,47478860.38,2531.91,1813.2,5565912.76,155.6,-89.32,-994.16,-11597.1,507.31,8532.07,-3366.34,123.93,53045632.66,-3242.41,53042390.25
3176,47381205.97,2423.28,1841.0,5535551.97,99.58,-93.95,-976.71,-11417.16,499.57,8544.58,-3535.06,125.96,52917678.14,-3409.09,52914269.04
3201,47676125.1,2579.06,1828.15,5532174.5,94.61,-78.46,-968.92,-11371.73,521.72,8510.79,-3552.98,126.17,53209414.81,-3426.81,53205988.0
3226,47596610.3,2591.85,1823.55,5539667.51,119.79,-108.6,-1007.11,-11580.95,520.64,8592.14,-3409.68,125.53,53137229.13,-3284.16,53133944.97
3251,47429637.76,2731.11,1816.1,5507782.43,90.13,-89.65,-978.48,-11491.31,497.24,8467.74,-3440.88,125.61,52938463.08,-3315.26,52935147.82
3276,47439941.57,2733.05,1826.86,5515971.63,163.03,-78.99,-993.2,-11636.39,519.3,8586.11,-3382.72,123.59,52957032.97,-3259.14,52953773.84
3301,47104711.58,3298.38,1851.29,5474714.54,1001.87,-102.08,-990.01,-11209.7,502.46,8548.61,-3700.91,128.34,52582326.94,-3572.57,52578754.36
3326,47595931.6,2683.71,1851.01,5509670.13,112.68,-83.39,-977.19,-11327.94,525.68,8543.92,-3592.74,128.13,53106930.22,-3464.62,53103465.6
3351,47186817.64,2625.1,1829.18,5525946.12,540.2,-94.8,-984.66,-11170.0,523.91,8540.66,-3724.59,125.14,52714573.36,-3599.46,52710973.91
3376,47301867.36,2866.42,1846.79,5526746.23,1024.23,-85.65,-999.69,-11451.18,524.47,8564.46,-3471.95,125.52,52830903.45,-3346.43,52827557.02
3401,47406620.95,2567.61,1836.63,5505871.26,230.82,-65.94,-995.62,-11489.59,497.9,8545.08,-3463.27,123.76,52913619.1,-3339.51,52910279.59
3426,47087912.56,3232.73,1846.21,5492328.75,1138.82,-101.29,-977.66,-11498.29,506.37,8518.98,-3454.15,125.17,52582907.19,-3328.99,52579578.2
3451,47343844.12,2743.36,1822.6,5530561.92,578.05,-99.99,-979.13,-11367.43,516.41,8596.37,-3588.62,125.0,52876216.28,-3463.62,52872752.65
3476,47278395.45,2740.03,1827.79,5534392.33,1225.52,-84.99,-961.68,-11476.73,525.27,8616.14,-3553.05,124.37,52815199.12,-3428.68,52811770.43
3501,47464482.06,2700.95,1817.01,5641386.26,1077.35,-93.93,-988.07,-11459.4,523.8,8510.25,-3470.81,122.29,53107956.27,-3348.52,53104607.75
3526,47186966.31,2743.81,1806.42,5623624.81,1167.58,-77.28,-995.74,-11554.83,526.15,8607.44,-3451.66,118.4,52812814.68,-3333.26,52809481.42
3551,47570438.6,2754.3,1794.02,5622724.05,1039.34,-75.55,-1024.58,-11495.25,527.06,8619.62,-3487.7,119.73,53195301.61,-3367.97,53191933.64
3576,47475572.92,2755.37,1846.05,5630731.38,682.24,-88.03,-1007.09,-11674.17,514.18,8644.11,-3380.66,122.27,53107976.96,-3258.4,53104718.56
3601,47517593.02,2615.58,1833.04,5641199.17,1073.12,-75.9,-996.78,-11662.94,502.75,8637.27,-3379.27,121.58,53160718.34,-3257.69,53157460.65
3626,47508124.12,2834.45,1825.33,5608096.16,840.76,-76.29,-1022.88,-11625.75,528.88,8692.9,-3462.62,116.42,53118217.68,-3346.2,53114871.49
